nohup: ignoring input
[scaling-v2] fingerprint=97cd99b61e30234cccd5f91655eb7ec2d49d8d6ec4d1bb69631bb71456fa3f8e specs=400 new_inferences=2460
[model] loading qwen2_math_7b from /mnt/ft2-data/cache/huggingface/hub/models--Qwen--Qwen2-Math-7B/snapshots/47a44ff4136da8960adbab02b2326787086bcf6c
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:01,  1.76it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.66it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.32it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.95s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.48s/it]
[compat] transformers generation update wrapper enabled
[control] 1/60 source=11 factor=1.00 author_correct=True
[control] 2/60 source=11 factor=1.25 author_correct=True
[control] 3/60 source=11 factor=1.50 author_correct=True
[control] 4/60 source=11 factor=1.75 author_correct=True
[control] 5/60 source=11 factor=2.25 author_correct=True
[control] 6/60 source=11 factor=2.50 author_correct=True
[control] 7/60 source=12 factor=1.00 author_correct=True
[control] 8/60 source=12 factor=1.25 author_correct=True
[control] 9/60 source=12 factor=1.50 author_correct=True
[control] 10/60 source=12 factor=1.75 author_correct=True
[control] 11/60 source=12 factor=2.25 author_correct=True
[control] 12/60 source=12 factor=2.50 author_correct=True
[control] 13/60 source=14 factor=1.00 author_correct=True
[control] 14/60 source=14 factor=1.25 author_correct=True
[control] 15/60 source=14 factor=1.50 author_correct=True
[control] 16/60 source=14 factor=1.75 author_correct=True
[control] 17/60 source=14 factor=2.25 author_correct=True
[control] 18/60 source=14 factor=2.50 author_correct=True
[control] 19/60 source=15 factor=1.00 author_correct=True
[control] 20/60 source=15 factor=1.25 author_correct=True
[control] 21/60 source=15 factor=1.50 author_correct=True
[control] 22/60 source=15 factor=1.75 author_correct=True
[control] 23/60 source=15 factor=2.25 author_correct=True
[control] 24/60 source=15 factor=2.50 author_correct=True
[control] 25/60 source=18 factor=1.00 author_correct=True
[control] 26/60 source=18 factor=1.25 author_correct=True
[control] 27/60 source=18 factor=1.50 author_correct=True
[control] 28/60 source=18 factor=1.75 author_correct=True
[control] 29/60 source=18 factor=2.25 author_correct=True
[control] 30/60 source=18 factor=2.50 author_correct=True
[control] 31/60 source=19 factor=1.00 author_correct=True
[control] 32/60 source=19 factor=1.25 author_correct=True
[control] 33/60 source=19 factor=1.50 author_correct=True
[control] 34/60 source=19 factor=1.75 author_correct=True
[control] 35/60 source=19 factor=2.25 author_correct=True
[control] 36/60 source=19 factor=2.50 author_correct=True
[control] 37/60 source=30 factor=1.00 author_correct=True
[control] 38/60 source=30 factor=1.25 author_correct=True
[control] 39/60 source=30 factor=1.50 author_correct=True
[control] 40/60 source=30 factor=1.75 author_correct=True
[control] 41/60 source=30 factor=2.25 author_correct=True
[control] 42/60 source=30 factor=2.50 author_correct=True
[control] 43/60 source=31 factor=1.00 author_correct=True
[control] 44/60 source=31 factor=1.25 author_correct=True
[control] 45/60 source=31 factor=1.50 author_correct=True
[control] 46/60 source=31 factor=1.75 author_correct=True
[control] 47/60 source=31 factor=2.25 author_correct=True
[control] 48/60 source=31 factor=2.50 author_correct=True
[control] 49/60 source=34 factor=1.00 author_correct=True
[control] 50/60 source=34 factor=1.25 author_correct=True
[control] 51/60 source=34 factor=1.50 author_correct=True
[control] 52/60 source=34 factor=1.75 author_correct=True
[control] 53/60 source=34 factor=2.25 author_correct=True
[control] 54/60 source=34 factor=2.50 author_correct=True
[control] 55/60 source=35 factor=1.00 author_correct=True
[control] 56/60 source=35 factor=1.25 author_correct=True
[control] 57/60 source=35 factor=1.50 author_correct=True
[control] 58/60 source=35 factor=1.75 author_correct=True
[control] 59/60 source=35 factor=2.25 author_correct=True
[control] 60/60 source=35 factor=2.50 author_correct=True
[run] 25/2400 spec=7028c8f629 factor=1.00 outcome=MASKED_IDENTICAL
[run] 50/2400 spec=89fc47487a factor=1.25 outcome=MASKED_IDENTICAL
[run] 75/2400 spec=6602933286 factor=1.50 outcome=MASKED_IDENTICAL
[run] 100/2400 spec=d17f3a63b7 factor=1.75 outcome=MASKED_IDENTICAL
[run] 125/2400 spec=396af08a05 factor=2.25 outcome=MASKED_IDENTICAL
[run] 150/2400 spec=8c9344273a factor=2.50 outcome=MASKED_IDENTICAL
[run] 175/2400 spec=80a863d247 factor=1.00 outcome=MASKED_IDENTICAL
[run] 200/2400 spec=c0c9971283 factor=1.25 outcome=MASKED_IDENTICAL
[run] 225/2400 spec=0288156253 factor=1.50 outcome=MASKED_IDENTICAL
[run] 250/2400 spec=390724d336 factor=1.75 outcome=MASKED_IDENTICAL
[run] 275/2400 spec=ad267bd2a3 factor=2.25 outcome=MASKED_SEMANTIC
[run] 300/2400 spec=4c05863e85 factor=2.50 outcome=MASKED_IDENTICAL
[run] 325/2400 spec=7661da3d08 factor=1.00 outcome=MASKED_IDENTICAL
[run] 350/2400 spec=e563b77cb4 factor=1.25 outcome=MASKED_IDENTICAL
[run] 375/2400 spec=15633a3b16 factor=1.50 outcome=MASKED_IDENTICAL
[run] 400/2400 spec=8e69713547 factor=1.75 outcome=MASKED_SEMANTIC
[run] 425/2400 spec=bf73be88cd factor=2.25 outcome=MASKED_IDENTICAL
[run] 450/2400 spec=bb32655f94 factor=2.50 outcome=MASKED_IDENTICAL
[run] 475/2400 spec=9acf0dc64c factor=1.00 outcome=MASKED_IDENTICAL
[run] 500/2400 spec=ac6b8e360d factor=1.25 outcome=MASKED_IDENTICAL
[run] 525/2400 spec=8cb2e24ce7 factor=1.50 outcome=MASKED_IDENTICAL
[run] 550/2400 spec=5261aa8164 factor=1.75 outcome=MASKED_IDENTICAL
[run] 575/2400 spec=7915d8e827 factor=2.25 outcome=MASKED_SEMANTIC
[run] 600/2400 spec=dc127534d0 factor=2.50 outcome=MASKED_IDENTICAL
[run] 625/2400 spec=7c435687d4 factor=1.00 outcome=MASKED_IDENTICAL
[run] 650/2400 spec=8b202cd10f factor=1.25 outcome=MASKED_IDENTICAL
[run] 675/2400 spec=7d8f6e3067 factor=1.50 outcome=MASKED_SEMANTIC
[run] 700/2400 spec=bb3cfbbbcc factor=1.75 outcome=MASKED_IDENTICAL
